Studies in Production,Notes
2016-1431,
2016-1432,
2016-1438,Overlap with participants in 2016-1449 and 2016-1461
2016-1448,
2016-1449,Overlap with participants in 2016-1438 and 2016-1461
2016-1450,
2016-1461,Overlap with participants in 2016-1449 and 2016-1438
2016-1523,
2016-1534,
2016-34,
2017-1407,
2017-1593,
2017-1598,
2017-1729,
2017-1740,
2017-1762,
2017-1839,
2017-1863,Overlap with 2017-1982
2017-1945,
2017-1962,
2017-1967,
2017-1977,
2017-1982,Overlap with 2017-1863
2017-2121,
2018-1599,
2018-2120,
2018-2254,
2018-2273,
2018-2512,
2018-2517,
2018-2517_2020-3131,"This study is a continuation of 2018-2517. This current HHEAR 3131 study has the same epi data, it is just adding the lab analyses for SPFAS & PBFRs"
2018-2532,
2018-2537,
2018-2539,
2020-00496,
2020-00605,
2021-01103,
2020-00652,
2020-00606,
2021-00862,
